time,V_C,I_L,V_IN,V_C
0.0,0.0,0.0,-2.132698391566818,0.0
5e-07,-0.01952385252733685,-0.021049268073064134,-10.606966790097179,-0.01952385252733685
1e-06,-0.15288968321109492,-0.13104352910240252,-20.214918339248577,-0.15288968321109492
1.5e-06,-0.5897424344719623,-0.361170611958903,-29.923465617834218,-0.5897424344719623
2e-06,-1.5144940311831332,-0.6336946188428495,-37.302651984597304,-1.5144940311831332
2.4999999999999998e-06,-2.967453861022574,-0.9443821742283981,-41.195114823992576,-2.967453861022574
3e-06,-5.024273303719994,-1.284091321016111,-45.94998230347612,-5.024273303719994
3.5e-06,-7.73346537671738,-1.6399343919868037,-48.11479298916502,-7.73346537671738
4e-06,-11.081155161059112,-1.9741039957664905,-49.653662404123594,-11.081155161059112
4.5e-06,-15.008318695426855,-2.2553384568391244,-52.487052633917045,-15.008318695426855
4.9999999999999996e-06,-19.44878014559887,-2.5357730252018125,-54.08073292822462,-19.44878014559887
5.5e-06,-24.37938821948208,-2.7815509871014394,-54.851995325789886,-24.37938821948208
6e-06,-29.716961209950192,-2.9734077052129786,-56.32880460724537,-29.716961209950192
6.5e-06,-35.360442527810996,-3.111041926866731,-57.665363280765725,-35.360442527810996
7e-06,-41.22994961663014,-3.2108426925428963,-59.21245690972218,-41.22994961663014
7.499999999999999e-06,-47.24555479369607,-3.27518900084458,-59.83856238885223,-47.24555479369607
8e-06,-53.31782624784743,-3.2870725105593888,-57.79900391829293,-53.31782624784743
8.5e-06,-59.34325220050385,-3.2105992209699643,-52.810693705455904,-59.34325220050385
9e-06,-65.12576781976519,-3.0184912119706047,-48.86384735142232,-65.12576781976519
9.499999999999999e-06,-70.44914743415826,-2.7191664646054736,-42.47770818866427,-70.44914743415826
9.999999999999999e-06,-75.1394752468733,-2.332079492801229,-39.8009631313808,-75.1394752468733
1.05e-05,-79.05917836072844,-1.8852029835024848,-38.25469972659877,-79.05917836072844
1.1e-05,-82.11742344631959,-1.4084595141954068,-35.4384374197112,-82.11742344631959
1.15e-05,-84.26422399995921,-0.9012055781673671,-32.29220629670296,-84.26422399995921
1.2e-05,-85.43543729989243,-0.3653005153630682,-30.669093760493162,-85.43543729989243
1.2499999999999999e-05,-85.59887479285861,0.18442635585014688,-30.112132557565786,-85.59887479285861
