time,V_C,I_L,V_IN,V_C
0.0,0.0,0.0,5.531944969212871,0.0
1e-06,0.1987205079920426,0.09723185517693543,-7.635758305121222,0.1987205079920426
2e-06,0.25367499221668466,-0.07633697287468284,-19.38170701758593,0.25367499221668466
3e-06,-0.733178907629338,-0.44884592605042595,-21.566585221131255,-0.733178907629338
4e-06,-3.074801482596194,-0.8191346143187661,-25.55224842577278,-3.074801482596194
4.9999999999999996e-06,-6.791051769924199,-1.179147054709715,-29.561003533374226,-6.791051769924199
6e-06,-11.77811834933089,-1.504536503379387,-29.73535276877131,-11.77811834933089
7e-06,-17.776886986317276,-1.70793541070903,-34.63830949071618,-17.776886986317276
8e-06,-24.397280353249172,-1.8628631339410253,-35.99393909364319,-24.397280353249172
9e-06,-31.428755325614716,-1.903008982691635,-31.244109922689127,-31.428755325614716
9.999999999999999e-06,-38.20632880813614,-1.7311923073591662,-33.96284091935951,-38.20632880813614
1.1e-05,-44.187175871802296,-1.4913326128045183,-35.96155616371724,-44.187175871802296
1.2e-05,-49.1727049799976,-1.1886449032250024,-33.945174777985024,-49.1727049799976
1.3e-05,-52.85882931193362,-0.78675741663409,-29.01697702913767,-52.85882931193362
1.4e-05,-54.8457717923522,-0.27320422494009067,-32.500853925325146,-54.8457717923522
1.4999999999999999e-05,-54.98329760651204,0.17901603754242973,-42.45043454004288,-54.98329760651204
1.6e-05,-53.865378332839974,0.3815893858946273,-47.38407697367514,-53.865378332839974
1.7e-05,-52.27966436219171,0.4700883633330556,-47.47197952003749,-52.27966436219171
1.8e-05,-50.43599052211398,0.5227382062640678,-44.3654056228293,-50.43599052211398
1.8999999999999998e-05,-48.3519154946203,0.611377620632159,-39.99581156410596,-48.3519154946203
1.9999999999999998e-05,-45.88310275437204,0.7155094424146168,-38.91254199892775,-45.88310275437204
2.1e-05,-43.080380701654576,0.7975491576953412,-36.517548404424794,-43.080380701654576
2.2e-05,-40.01381948606398,0.847175454860435,-33.19197812823338,-40.01381948606398
2.3e-05,-36.80389717875943,0.8854559664302736,-30.869339045181363,-36.80389717875943
2.4e-05,-33.44973133935572,0.9541871084423885,-18.580564068407806,-33.44973133935572
2.4999999999999998e-05,-29.520663064077556,1.189347673787419,-5.922933885215464,-29.520663064077556
2.6e-05,-24.406863339325202,1.5774508948060428,-1.3651299882298664,-24.406863339325202
2.7e-05,-17.97682050042655,1.8649569007011104,2.680924209479984,-17.97682050042655
2.8e-05,-10.68861383539853,2.0598459484408878,2.296439304020141,-10.68861383539853
2.9e-05,-2.90208949907459,2.120538805548754,6.729559870255578,-2.90208949907459
2.9999999999999997e-05,4.956327792422663,2.118738645566751,15.99195427733013,4.956327792422663
3.1e-05,12.898723228534639,2.171286361710324,20.94720856816781,12.898723228534639
3.2e-05,20.89515489588645,2.118621952555727,29.034926922105257,20.89515489588645
3.2999999999999996e-05,28.63774266939749,2.0664858284301504,39.14006316284132,28.63774266939749
3.4e-05,36.435031945124344,2.184987949721461,53.65854790987106,36.435031945124344
3.5e-05,44.810195287270744,2.3193305506425976,74.39740344887679,44.810195287270744
3.6e-05,54.037759953977144,2.697477243276277,88.27021173614884,54.037759953977144
3.7e-05,64.87179240790174,3.1198831837262655,91.10688462234182,64.87179240790174
3.7999999999999995e-05,76.88760905825878,3.305169820664344,84.43773965710604,76.88760905825878
3.9e-05,88.84141261373598,3.0726828593449524,72.17134717234002,88.84141261373598
3.9999999999999996e-05,98.98081096447127,2.3321678546513853,60.73304837001304,98.98081096447127
4.1e-05,105.82151185260197,1.3129389465514283,53.250661229400706,105.82151185260197
4.2e-05,108.62597124254883,0.20875824879501748,49.82991293253404,108.62597124254883
4.2999999999999995e-05,107.31453373596035,-0.9156873343556826,51.20950186391389,107.31453373596035
4.4e-05,102.01560918345025,-1.9003514833833313,54.4898147213558,102.01560918345025
